gene,log2FoldChange
efeO,-1.6424201032938504
efeB,-1.4172557104639354
phoH,2.906928978527668
pgaD,3.170535763818015
serX,2.010182305832578
csgC,-4.24303521557548
ymdA,-4.61412258115843
ymdB,-1.2609591717235518
yceK,1.481998910622233
msyB,1.769660931387621
solA,-1.3211004249853926
bssS,1.1224057114163366
dinI,-1.4141530513451173
pyrC,-1.4682269955968188
flgN,-3.3292454976979626
flgM,-3.445217016903461
flgA,-5.633168049643908
flgB,-6.546497771870156
flgC,-6.01817357082014
flgD,-6.211147382428807
flgE,-6.303517906501364
flgF,-5.984399751501147
flgG,-6.303705213130658
flgH,-6.125500146925252
flgI,-5.910307943084608
flgJ,-5.0576080683876095
flgK,-3.9707910433270293
flgL,-4.0422422772956805
fabD,-1.2745491422949857
fabG,-1.462954963167094
ptsG,-3.025518746088804
fhuE,-3.81619731172124
ycfP,-1.2836776134187362
ndh,-1.2242974329554623
ycfJ,2.6332613203012127
bhsA,1.497977596544096
mfd,-1.413132185822141
potD,-1.1237309633685026
potC,-1.90925296856983
potB,-2.0626952501384133
potA,-1.3117738327124877
roxA,1.2378406088875267
phoQ,3.637948684276847
phoP,3.4333532202477297
purB,-1.9892439058410611
iraM,6.817447729185537
ymgK,7.036491463906341
ymgL,7.72788288377577
ycgX,3.501702192706973
ycgZ,3.029555971010033
minD,-1.0939891834233617
ymgM,-1.7766707022605102
cvrA,-1.6702343725377817
ycgR,-3.142982494438622
ymgE,2.175692273304319
dhaM,-1.5641999650543663
dhaL,-2.0063365304337792
dhaK,-2.156285183676185
prs,-1.301176027083766
lolB,-1.4644875597508848
rdlC,1.3348466378697543
chaB,1.9883612721927777
chaC,1.349534642051118
ychS,2.471265770398732
rttR,4.2062485507088
tyrV,1.6948973697316183
tyrT,1.6948973697316183
purU,-1.3064562706855487
adhE,-2.472406104134991
yciY,2.350508343272311
ompW,-3.307790013288584
trpA,-4.155309224241155
trpB,-3.9232669581461193
trpC,-3.3530896779111696
trpD,-3.866382666612465
trpE,-4.310789851733807
trpL,-3.475681082325512
ymiA,2.297549272378225
yciX,1.853761864221295
ymiC,1.865910438819139
osmB,1.2184819830822995
yciT,-1.5917176865351066
yciZ,-1.1395070164751493
pdeR,3.699635730827091
rnb,-1.847934635812829
fabI,-1.4952950051657068
sapD,-1.46803732133393
pspB,1.5255269002223202
pspC,1.4225454267418465
pspD,1.8237380285660225
ynaI,1.9083816069005746
ynaL,1.539812655066508
uspF,-1.3216649852189308
feaB,1.8261259493075448
aldA,-2.383821564910054
sokB,2.069237843512719
trg,-1.9226250394167743
ydcL,1.2318165907190932
yncJ,1.9131514683875293
yncL,1.4013765597710175
ortT,2.152429327795085
mcbR,3.390587318827346
yncE,-3.4335483576566315
fdnG,-2.529104160852345
yddM,1.2105583420644495
adhP,1.6338158507727667
maeA,1.7015043653203379
sra,1.6083216171949999
osmC,1.941747291387897
ddpX,-2.5017067118650718
dosC,1.82726985907061
yddY,2.7526178318820684
gadC,1.5040424161639807
ydeR,3.504851290911228
ydeS,6.857259576468904
ydeT,6.986818824798212
tam,1.719425733584909
marR,2.095843134607166
marA,1.3640774815599463
mgtS,7.842223806530674
mgtT,2.318532603182515
mgrR,2.783815671152282
dgcZ,4.458744094718331
ydeI,2.644515851611717
dcp,-1.5046666172383294
ydfZ,-3.1523023774693884
cspB,1.9645083942914727
cspF,1.5903497682432608
ynfS,1.8889825127326558
ydfT,2.4037307955279634
rem,2.338755361222422
hokD,3.395665831870137
relE,3.2878016633391534
relB,2.76558314882553
flxA,-1.6365674354661572
ydfC,1.5925494532490996
ynfB,3.1487486282602886
speG,2.8919050172808287
ynfC,2.3681662037602487
ynfF,-2.0522936251088457
ynfK,-2.7485992478045342
asr,5.98053417197261
ydgU,4.7085835385089005
ydgV,2.2715208927335317
tqsA,3.343967936176649
pntB,-1.4762216481733903
pntA,-1.5851291064885464
rstA,3.7174405450262316
rstB,3.2800456467367853
manA,-1.370644623998776
malX,1.7349385743114698
blr,1.3995808020660168
ydgK,1.1542083055738688
rsxA,1.46711797335498
slyB,3.3789734046389373
slyA,1.9798262509744295
ydhI,3.6150929364620756
ydhJ,3.0279305654123183
ydhK,2.0416229602091174
ydhP,1.8520015707104942
cydH,1.4733692596697516
mdtK,1.4460218085518795
valW,1.8152868121907377
ydhR,1.8735338371899481
sufE,-2.1867637949861023
sufS,-2.064675086187299
sufD,-2.40873364980146
sufC,-2.162740697221863
sufB,-2.201775859703875
sufA,-1.53766243714056
ydiJ,-1.7415510117426014
aroH,-1.7977073322726789
ydiE,-1.369964914019849
pheT,-1.4842669522676015
pheS,-1.5107392853553252
ydiZ,1.8653703127945582
ves,-1.9535275016494213
ydjX,-2.2507566319961407
ydjY,-2.8541647726990726
ynjE,-3.07355804165498
nudG,-2.35382502752805
ynjH,-2.801799132547164
gdhA,-1.5262011959534805
topB,-1.2907910624059318
gapA,-3.0387895221334227
yeaD,-2.067691047609132
mipA,-1.1869436703865475
